Alpha_gain,Alpha_loss,Beta,Choice,Decay,Stim_Sequence,Subject,Trial,Trustee_Response
0.0,0.0,4,4,0.8,1,11,30.0,1
0.0,0.0,4,3,0.8,0,11,31.0,0
0.0,0.0,4,4,0.8,0,11,32.0,1
0.0,0.0,4,2,0.8,1,11,33.0,0
0.0,0.0,4,4,0.8,1,11,34.0,1
0.0,0.0,4,3,0.8,2,11,35.0,0
0.0,0.0,4,3,0.8,2,11,36.0,0
0.0,0.0,4,1,0.8,2,11,37.0,0
0.0,0.0,4,4,0.8,2,11,38.0,1
0.0,0.0,4,1,0.8,0,11,39.0,1
0.0,0.0,4,2,0.8,2,11,40.0,0
0.0,0.0,4,2,0.8,2,11,41.0,0
0.0,0.0,4,1,0.8,1,11,42.0,0
0.0,0.0,4,1,0.8,1,11,43.0,0
0.0,0.0,4,1,0.8,0,11,44.0,1
0.0,0.0,4,2,0.8,0,11,45.0,1
0.0,0.0,4,4,1.0,0,12,1.0,1
0.0,0.0,4,4,1.0,1,12,2.0,1
0.0,0.0,4,1,1.0,2,12,3.0,0
0.0,0.0,4,4,1.0,1,12,4.0,0
0.0,0.0,4,1,1.0,0,12,5.0,1
0.0,0.0,4,1,1.0,2,12,6.0,0
0.0,0.0,4,4,1.0,0,12,7.0,0
0.0,0.0,4,3,1.0,2,12,8.0,0
0.0,0.0,4,2,1.0,2,12,9.0,0
0.0,0.0,4,2,1.0,1,12,10.0,1
0.0,0.0,4,1,1.0,1,12,11.0,1
0.0,0.0,4,4,1.0,2,12,12.0,0
0.0,0.0,4,2,1.0,2,12,13.0,0
0.0,0.0,4,4,1.0,1,12,14.0,0
0.0,0.0,4,1,1.0,1,12,15.0,1
0.0,0.0,4,4,1.0,0,12,16.0,1
0.0,0.0,4,1,1.0,2,12,17.0,0
0.0,0.0,4,2,1.0,2,12,18.0,1
0.0,0.0,4,1,1.0,0,12,19.0,1
0.0,0.0,4,4,1.0,0,12,20.0,1
0.0,0.0,4,1,1.0,0,12,21.0,1
0.0,0.0,4,2,1.0,1,12,22.0,0
0.0,0.0,4,3,1.0,0,12,23.0,1
0.0,0.0,4,2,1.0,1,12,24.0,0
0.0,0.0,4,4,1.0,2,12,25.0,0
0.0,0.0,4,2,1.0,1,12,26.0,1
0.0,0.0,4,2,1.0,1,12,27.0,1
0.0,0.0,4,4,1.0,2,12,28.0,0
0.0,0.0,4,3,1.0,1,12,29.0,1
